聅凝菌戈 - 独(2103)(O1GC&)
ら戳,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,ゼキ秖,
20120511,1586.10,1589.60,1583.60,1583.60,6,36,
20120514,1563.00,1563.10,1555.50,1561.90,5,35,
20120515,1555.40,1558.30,1542.40,1556.80,28,22,
20120516,1541.40,1541.40,1528.50,1535.80,26,34,
20120517,1546.90,1579.00,1546.90,1574.80,51,57,
20120518,1573.70,1591.60,1568.20,1591.60,26,34,
20120521,1591.90,1594.10,1591.90,1592.50,32,44,
20120522,1575.70,1578.10,1568.40,1568.40,27,49,
20120523,1538.20,1538.20,1534.40,1537.00,6,7,
20120524,1559.00,1569.40,1551.50,1557.30,23,14,
20120525,1558.20,1568.80,1557.30,1568.80,157335,93277,
20120528,1574.70,1582.50,1568.80,1568.80,5,14,
20120530,1553.90,1569.00,1530.40,1563.40,79887,9171,
20120531,1562.70,1572.60,1551.80,1562.60,5901,5878,
20120601,1560.00,1630.00,1545.50,1620.50,2820,2903,
20120604,1623.00,1627.90,1609.00,1612.20,2134,2190,
20120605,1619.30,1622.70,1612.90,1615.20,604,1846,
20120606,1619.70,1639.70,1616.50,1632.80,419,1826,
20120607,1622.60,1627.20,1581.90,1586.60,1200,1420,
20120608,1589.90,1593.90,1566.50,1590.10,157,1349,
20120611,1608.00,1608.00,1583.00,1595.50,129,1298,
20120612,1594.10,1612.80,1588.50,1612.70,523,999,
20120613,1608.20,1622.40,1608.20,1618.10,655,1167,
20120614,1621.20,1626.40,1610.10,1618.40,493,879,
20120615,1624.30,1630.00,1621.50,1627.00,1015,1370,
20120618,1622.60,1627.60,1615.00,1625.70,246,1177,
20120619,1629.80,1630.70,1622.00,1623.20,32,688,
20120620,1618.30,1618.30,1601.30,1614.80,140,666,
20120621,1603.20,1603.30,1565.50,1568.70,29,622,
20120622,1565.50,1568.40,1560.00,1566.00,16,602,
20120625,1574.90,1587.50,1571.00,1587.50,32,56,
20120626,1583.50,1583.50,1567.70,1573.60,817,887,
20120627,1567.00,1571.60,1563.00,1571.60,220,735,
20120628,1573.70,1573.70,1548.40,1549.70,133,694,
20120629,1562.60,1603.50,1561.90,1603.50,61,67,
20120702,1597.10,1598.30,1589.70,1598.00,35,42,
20120703,1603.80,1624.00,1603.80,1621.30,44,36,
20120704,1618.50,1621.30,1614.50,1621.30,17,42,
20120705,1614.30,1619.20,1598.00,1606.50,27,22,
20120706,1592.30,1593.80,1578.40,1578.40,15,24,
20120709,1582.10,1582.10,1580.90,1580.90,5,19,
20120710,1599.20,1599.80,1567.60,1579.30,12,21,
20120711,1577.40,1579.50,1575.30,1577.00,12,19,
20120712,1569.30,1574.70,1557.20,1564.90,44,24,
20120713,1567.80,1594.10,1567.80,1591.60,26,25,
20120716,1586.20,1589.70,1585.80,1589.70,7,25,
20120717,1596.00,1596.00,1576.30,1589.10,27,24,
20120718,1581.20,1583.70,1569.90,1575.50,30,17,
20120719,1580.00,1586.90,1578.40,1580.10,60,9,
20120720,1583.90,1584.40,1576.10,1582.50,5,7,
20120723,1571.70,1572.00,1569.80,1572.00,4,7,
20120724,1574.00,1581.90,1574.00,1575.00,9,11,
20120725,1583.70,1603.90,1583.30,1602.50,12,10,
20120726,1614.90,1614.90,1614.10,1614.10,188616,80744,
20120727,1613.40,1617.90,1613.40,1617.90,197976,39884,
20120730,1622.90,1625.80,1613.10,1619.70,52890,11698,
20120731,1621.10,1627.50,1610.00,1610.50,6281,5807,
20120801,1613.40,1617.20,1592.00,1603.70,3530,4447,
20120802,1600.00,1613.70,1583.10,1587.40,933,3854,
20120803,1589.30,1606.00,1585.10,1606.00,676,2960,
20120806,1604.70,1614.10,1603.20,1612.90,662,2917,
20120807,1610.80,1615.70,1609.30,1609.80,449,2917,
20120808,1610.20,1614.80,1603.00,1612.90,341,2712,
20120809,1612.80,1617.10,1610.10,1617.10,433,2338,
20120810,1615.80,1624.10,1605.00,1619.70,1219,1999,
20120813,1622.00,1623.70,1607.30,1609.60,402,1129,
20120814,1612.80,1615.60,1592.00,1599.00,910,800,
20120815,1593.80,1604.60,1592.00,1603.70,280,461,
20120816,1600.20,1616.10,1600.20,1616.10,199,369,
20120817,1617.80,1617.80,1611.40,1616.30,249,369,
20120820,1614.00,1621.40,1611.60,1620.10,68,237,
20120821,1620.00,1639.90,1620.00,1639.90,258,213,
20120822,1638.40,1653.10,1635.00,1637.40,37,213,
20120823,1659.90,1672.70,1658.00,1669.60,141,131,
20120824,1665.80,1669.80,1662.20,1669.80,24,99,
20120827,1674.90,1674.90,1663.90,1672.40,42,85,
20120828,1659.90,1671.00,1659.20,1666.50,823,749,
20120829,1667.20,1667.30,1665.20,1665.20,403,721,
20120830,1655.40,1662.00,1650.70,1653.50,418,741,
20120831,1658.60,1690.00,1646.20,1684.60,58,152,
20120903,1689.10,1689.10,1684.60,1684.60,4,741,
20120904,1691.20,1698.00,1689.40,1692.90,43,91,
20120905,1690.40,1693.30,1690.40,1690.80,82,91,
20120906,1696.40,1712.40,1696.40,1702.60,39,79,
20120907,1696.70,1738.20,1696.70,1737.50,109,71,
20120910,1733.10,1733.50,1727.20,1728.70,14,49,
20120911,1736.00,1736.00,1731.80,1731.80,2,49,
20120912,1742.20,1742.30,1730.50,1730.60,15,48,
20120913,1728.70,1769.10,1728.70,1769.10,33,57,
20120914,1771.00,1774.50,1766.00,1769.80,25,42,
20120917,1774.80,1774.80,1753.80,1767.70,54,43,
20120918,1766.30,1768.40,1766.30,1768.40,13,44,
20120919,1776.00,1778.50,1768.00,1769.00,27,47,
20120920,1769.10,1771.30,1760.60,1767.70,17,28,
20120921,1785.30,1785.30,1772.30,1775.50,10,29,
20120925,1772.60,1772.70,1763.80,1763.80,17725,16032,
20120926,1762.80,1764.20,1743.00,1749.60,15237,8984,
20120927,1752.60,1780.20,1750.70,1777.60,6989,6344,
20120928,1776.80,1782.20,1767.50,1771.10,2839,5178,
20121001,1766.00,1791.00,1763.30,1777.10,816,3511,
20121002,1777.90,1779.30,1772.70,1772.70,94,857,
20121003,1772.20,1779.90,1771.90,1777.30,134,728,
20121004,1783.50,1794.80,1783.50,1794.10,199,741,
20121005,1792.20,1792.20,1776.60,1778.60,257,567,
20121008,1778.00,1778.00,1766.80,1773.50,33,493,
20121009,1776.70,1776.70,1762.30,1763.00,24,337,
20121010,1762.40,1764.20,1758.10,1763.20,29,335,
20121011,1761.60,1771.00,1761.60,1768.80,30,315,
20121012,1769.50,1769.50,1753.60,1758.00,84,302,
20121015,1750.00,1750.00,1729.90,1736.00,108,295,
20121016,1736.70,1744.70,1736.60,1744.70,15,259,
20121017,1749.40,1751.50,1746.00,1751.50,36,277,
20121018,1749.10,1749.10,1740.50,1743.30,27,252,
20121019,1741.10,1741.10,1721.00,1722.80,70,271,
20121022,1715.00,1728.30,1715.00,1725.10,12,271,
20121023,1726.60,1726.60,1708.30,1708.30,75,220,
20121024,1708.40,1708.50,1698.60,1700.50,27,201,
20121025,1711.70,1716.70,1711.70,1712.00,26,199,
20121026,1706.10,1716.20,1706.10,1710.90,77,120,
20121029,1712.00,1712.00,1707.00,1707.70,11,120,
20121030,1709.10,1714.40,1709.00,1710.50,337,304,
20121031,1714.40,1724.50,1714.40,1717.50,60,252,
20121101,1722.30,1725.10,1714.10,1714.10,23,134,
20121102,1711.30,1711.30,1674.10,1674.10,50,35,
20121105,1682.80,1683.10,1674.30,1682.20,7,35,
20121106,1690.10,1718.00,1690.10,1714.10,47,30,
20121107,1710.40,1717.00,1710.40,1713.20,41,44,
20121108,1715.90,1725.40,1714.20,1725.40,16,29,
20121109,1733.70,1734.10,1727.60,1730.30,6,27,
20121112,1733.20,1733.40,1730.30,1730.30,5,27,
20121113,1721.60,1728.20,1718.50,1724.20,12,23,
20121114,1722.00,1729.50,1722.00,1729.50,9,26,
20121115,1724.90,1724.90,1706.30,1713.30,10,27,
20121116,1710.00,1714.30,1706.90,1714.30,16,25,
20121119,1721.80,1734.00,1721.80,1734.00,4,25,
20121120,1730.60,1731.10,1722.50,1723.20,21,26,
20121121,1725.80,1727.90,1725.80,1727.90,1,45,
20121123,1735.00,1751.30,1735.00,1751.30,4,17,
20121126,1750.30,1750.50,1749.40,1749.50,24,17,
20121127,1746.40,1746.40,1742.20,1742.20,7,21,
20121128,1739.80,1739.80,1716.50,1716.50,7,13,
20121129,1719.60,1729.00,1717.70,1727.20,59326,35289,
20121130,1725.20,1731.20,1708.40,1710.90,3688,4703,
20121203,1714.90,1721.90,1714.50,1719.60,1238,4623,
20121204,1716.30,1716.80,1691.60,1694.40,1334,4228,
20121205,1697.10,1706.00,1685.00,1692.40,1262,2047,
20121206,1694.30,1702.10,1686.40,1700.30,519,800,
20121207,1701.20,1704.50,1684.00,1704.00,159,754,
20121210,1704.20,1717.00,1704.20,1713.00,88,754,
20121211,1710.00,1714.10,1705.90,1708.20,88,727,
20121212,1710.10,1722.30,1708.00,1716.60,195,685,
20121213,1707.20,1707.20,1689.90,1695.60,240,609,
20121214,1698.30,1699.20,1694.40,1695.80,18,361,
20121217,1690.50,1698.50,1689.50,1697.00,65,361,
20121218,1701.40,1702.80,1661.00,1669.50,498,332,
20121219,1675.30,1676.00,1664.60,1666.50,73,325,
20121220,1667.90,1671.00,1637.60,1644.90,158,312,
20121221,1648.00,1659.10,1635.80,1659.10,52,191,
20121224,1657.70,1663.80,1654.90,1658.60,73,191,
20121226,1654.50,1666.70,1654.50,1659.80,56,102,
